ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
-0.5469,-0.6562,0.0625,-65.4297,16.6016,26.3672,0.8565,72.4699
-0.5156,-0.5781,-0.0312,-65.4297,21.4844,24.4141,0.7753,73.0662
-0.4062,-0.3594,-0.0938,-46.875,19.5312,17.5781,0.5504,53.7376
-0.4219,0.0469,-0.2969,-26.3672,9.7656,9.7656,0.518,29.7651
-0.5938,0.25,-0.6875,5.8594,13.6719,8.7891,0.9422,17.2772
-0.4219,-0.1406,-1.0469,25.3906,18.5547,5.8594,1.1374,31.9889
-0.375,-0.5781,-0.8594,-32.2266,18.5547,7.8125,1.1015,37.9982
-0.1719,-0.5781,-0.5156,-71.2891,30.2734,11.7188,0.7935,78.3322
-0.125,-0.6719,-0.4219,-64.4531,27.3438,16.6016,0.8031,71.9548
-0.0625,-0.5156,-0.5,-51.7578,27.3438,27.3438,0.721,64.6083
-0.0156,-0.4062,-0.7969,-44.9219,33.2031,35.1562,0.8946,66.0029
-0.0156,-0.3438,-0.7188,-65.4297,44.9219,38.0859,0.7969,88.0316
0.1875,-0.2031,-0.3906,-90.8203,53.7109,37.1094,0.4785,111.8495
0.25,-0.0781,-0.0781,-99.6094,49.8047,19.5312,0.2733,113.0664
0.5156,0.2656,-0.125,-96.6797,46.875,-11.7188,0.5933,108.0813
0.3594,0.8125,-0.0156,-109.375,5.8594,-27.3438,0.8886,112.8933
-0.0469,1.4219,0.0625,-58.5938,-38.0859,18.5547,1.424,72.3052
0.9844,1.9844,1.1094,-59.5703,4.8828,14.6484,2.4774,61.5389
0.7656,1.9844,0.7812,-123.0469,-10.7422,19.5312,2.2659,125.0496
-0.1406,1.0312,-0.4844,-66.4062,4.8828,1.9531,1.148,66.6142
0.5781,0.3125,-0.2188,-94.7266,-4.8828,31.25,0.6926,99.8675
0.4688,1.625,1.1094,-125.0,4.8828,-5.8594,2.0226,125.2325
0.2031,0.6406,1.0781,-78.125,-1.9531,7.8125,1.2704,78.5389
0.1875,1.0,0.6406,-42.9688,-0.9766,3.9062,1.2023,43.157
0.1094,1.1562,0.7969,-46.875,-2.9297,7.8125,1.4085,47.6118
0.1562,1.2969,0.8594,-32.2266,-6.8359,11.7188,1.5636,34.9658
0.3438,0.9844,1.0469,-31.25,-10.7422,13.6719,1.4775,35.7614
0.3594,0.9062,0.875,-17.5781,-12.6953,12.6953,1.31,25.1263
0.3281,0.75,0.6562,-13.6719,-8.7891,12.6953,1.0492,20.6237
0.2656,0.5312,0.5625,-19.5312,-6.8359,14.6484,0.818,25.353
0.1875,0.4375,0.5469,-25.3906,-13.6719,16.6016,0.725,33.2749
0.2031,0.4531,0.4844,-27.3438,-19.5312,18.5547,0.6937,38.3852
0.2812,0.4688,0.4219,-21.4844,-12.6953,16.6016,0.6905,29.9727
0.2969,0.5781,0.5156,-11.7188,-0.9766,11.7188,0.8296,16.6016
0.3438,0.4844,0.5156,-14.6484,0.9766,10.7422,0.7865,18.1913
0.3906,0.4531,0.7031,-23.4375,0.0,10.7422,0.9232,25.782
0.4688,0.4219,0.7656,-28.3203,-1.9531,11.7188,0.9919,30.7113
0.6719,0.5312,1.0781,-34.1797,0.9766,10.7422,1.377,35.8413
0.7344,0.5156,1.1562,-41.9922,2.9297,11.7188,1.4636,43.695
0.7031,0.3281,1.1719,-50.7812,1.9531,14.6484,1.4055,52.8879
0.7656,0.1719,1.2031,-51.7578,1.9531,14.6484,1.4364,53.8262
0.7812,-0.0625,1.3281,-47.8516,-1.9531,10.7422,1.5421,49.0814
0.75,0.0,1.1562,-37.1094,-2.9297,6.8359,1.3782,37.8473
0.6719,0.0,1.0312,-39.0625,2.9297,5.8594,1.2308,39.608
0.6094,-0.1562,0.8281,-35.1562,7.8125,6.8359,1.04,36.6569
0.4531,-0.1875,0.8125,-26.3672,12.6953,4.8828,0.949,29.6689
0.3594,-0.1719,0.8281,-23.4375,14.6484,3.9062,0.919,27.9133
0.3906,-0.2344,0.75,-19.5312,11.7188,3.9062,0.8775,23.1097
0.3594,-0.1094,0.6094,-14.6484,6.8359,4.8828,0.7159,16.8863
0.3281,-0.2031,0.6094,-12.6953,3.9062,2.9297,0.7213,13.6019
0.2812,-0.2656,0.6562,-9.7656,1.9531,1.9531,0.7618,10.1487
0.3438,-0.3281,0.7031,-6.8359,0.0,0.9766,0.8487,6.9053
0.3594,-0.3594,0.8281,-2.9297,0.0,0.0,0.9716,2.9297
0.3906,-0.4062,0.8125,-0.9766,-2.9297,0.0,0.9888,3.0882
0.4219,-0.4219,0.7344,2.9297,-2.9297,-0.9766,0.9462,4.2567
0.4375,-0.4062,0.7812,7.8125,-1.9531,-2.9297,0.9833,8.5693
0.4531,-0.3438,0.8594,11.7188,-1.9531,-3.9062,1.0305,12.5061
0.4531,-0.2969,0.875,13.6719,-1.9531,-4.8828,1.0291,14.6484
0.4375,-0.2188,0.7969,12.6953,-2.9297,-3.9062,0.935,13.6019
0.4219,-0.2344,0.7344,10.7422,-2.9297,-3.9062,0.8788,11.7998
0.4375,-0.2031,0.8125,12.6953,-4.8828,-3.9062,0.9449,14.1517
0.375,-0.2344,0.7656,14.6484,-10.7422,-4.8828,0.8842,18.8099
0.3906,-0.2031,0.6875,14.6484,-10.7422,-5.8594,0.8164,19.0867
0.4062,-0.2656,0.6875,16.6016,-9.7656,-6.8359,0.8416,20.4379
0.4531,-0.1562,0.625,19.5312,-7.8125,-6.8359,0.7876,22.1187
