ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
0.2031,1.1562,0.125,-58.5938,3.9062,-22.4609,1.1806,62.8727
0.1094,0.8281,0.25,-79.1016,19.5312,-27.3438,0.8719,85.943
0.0,0.8125,0.2969,-87.8906,25.3906,-34.1797,0.865,97.6611
-0.125,0.7656,0.4531,-82.0312,24.4141,-33.2031,0.8984,91.8021
-0.1719,0.625,0.4375,-75.1953,25.3906,-30.2734,0.782,84.9441
-0.2344,0.6094,0.4688,-71.2891,20.5078,-26.3672,0.8037,78.7269
-0.1719,0.2969,0.4844,-70.3125,16.6016,-22.4609,0.5935,75.6568
-0.0625,0.4062,0.625,-54.6875,10.7422,-15.625,0.748,57.8814
-0.1719,0.5156,0.6562,-31.25,19.5312,-12.6953,0.8521,38.977
-0.2969,0.5625,0.7188,-11.7188,8.7891,-8.7891,0.9598,17.0829
-0.2188,0.75,1.0625,-11.7188,-2.9297,-5.8594,1.3188,13.4255
-0.3906,0.7812,1.1406,-13.6719,-2.9297,-4.8828,1.4367,14.8103
-0.375,0.7969,1.0781,-16.6016,-1.9531,-4.8828,1.3921,17.4146
-0.3594,0.6875,1.1562,-23.4375,-2.9297,-4.8828,1.3924,24.1193
-0.375,0.5781,1.2656,-24.4141,-3.9062,-3.9062,1.4411,25.0313
-0.3906,0.4531,1.2344,-25.3906,-2.9297,-2.9297,1.3717,25.7264
-0.3125,0.3906,1.1406,-24.4141,-3.9062,-2.9297,1.2455,24.8976
-0.3125,0.375,1.1406,-24.4141,-2.9297,-3.9062,1.2407,24.8976
-0.3438,0.3125,1.0156,-25.3906,0.0,-4.8828,1.1168,25.8559
-0.2812,0.3906,0.9844,-24.4141,1.9531,-3.9062,1.0958,24.8016
-0.3438,0.125,1.0156,-23.4375,3.9062,-4.8828,1.0795,24.2573
-0.375,0.1094,1.0156,-26.3672,4.8828,-5.8594,1.0882,27.4482
-0.3281,0.125,1.0625,-29.2969,5.8594,-7.8125,1.119,30.8816
-0.3438,0.0,1.0781,-31.25,5.8594,-9.7656,1.1316,33.2605
-0.2812,-0.0469,1.0625,-35.1562,3.9062,-12.6953,1.1001,37.5818
-0.3125,-0.0156,1.0938,-38.0859,0.0,-13.6719,1.1376,40.4655
-0.2656,-0.0781,1.125,-39.0625,-2.9297,-14.6484,1.1586,41.8215
-0.2969,-0.1719,1.125,-38.0859,-4.8828,-13.6719,1.1761,40.7591
-0.2188,-0.0938,1.1719,-38.0859,-7.8125,-13.6719,1.1958,41.2128
-0.2188,-0.4688,1.1875,-37.1094,-10.7422,-14.6484,1.2953,41.3168
-0.2656,-0.375,1.2031,-43.9453,-9.7656,-13.6719,1.2879,47.0476
-0.3125,-0.4219,1.25,-52.7344,-7.8125,-12.6953,1.3558,54.8007
-0.2812,-0.625,1.25,-65.4297,-1.9531,-11.7188,1.4256,66.4995
-0.1406,-0.875,1.3125,-78.125,0.0,-8.7891,1.5837,78.6178
-0.3594,-0.6562,1.0938,-106.4453,0.0,-15.625,1.3252,107.586
-0.25,-0.6875,0.9375,-110.3516,-8.7891,-27.3438,1.1891,114.028
-0.2344,-0.8438,0.875,-120.1172,-13.6719,-34.1797,1.2379,125.6316
-0.2344,-0.9062,0.5781,-124.0234,-9.7656,-38.0859,1.1002,130.1066
-0.0156,-1.0,0.25,-113.2812,4.8828,-29.2969,1.0309,117.1102
0.0,-0.6875,0.0469,-92.7734,0.0,-21.4844,0.6891,95.2286
-0.0781,-0.5781,0.0,-83.0078,2.9297,-18.5547,0.5834,85.1067
-0.0938,-0.375,-0.375,-80.0781,8.7891,-16.6016,0.5386,82.2518
0.0156,0.0,-0.875,-78.125,14.6484,-16.6016,0.8751,81.2016
0.3594,0.25,-1.1562,-41.9922,10.7422,-17.5781,1.2364,46.7732
0.2656,0.25,-1.0625,-23.4375,-2.9297,-10.7422,1.1234,25.9479
0.2031,0.4062,-1.2188,-8.7891,3.9062,-4.8828,1.3006,10.7865
0.4062,0.4531,-1.1562,3.9062,6.8359,0.0,1.3066,7.8733
0.5,0.3125,-0.9375,5.8594,10.7422,8.7891,1.1075,15.0657
0.4844,0.0781,-0.7656,2.9297,14.6484,14.6484,0.9093,20.9222
0.4688,-0.1719,-0.6875,10.7422,9.7656,9.7656,0.8497,17.4966
0.2812,-0.2031,-0.7188,23.4375,1.9531,7.8125,0.7981,24.7824
0.3281,-0.3438,-0.7656,28.3203,0.9766,9.7656,0.9011,29.9727
0.2969,-0.5156,-0.7031,32.2266,0.9766,12.6953,0.9211,34.6508
0.2969,-0.5625,-0.625,40.0391,0.0,16.6016,0.8917,43.3444
0.3281,-0.5156,-0.4375,44.9219,-4.8828,20.5078,0.7516,49.6224
0.2031,-0.4219,-0.2812,46.875,-5.8594,23.4375,0.5462,52.7344
0.0469,-0.4062,-0.1875,44.9219,0.0,27.3438,0.4499,52.5895
-0.0312,-0.4844,-0.125,44.9219,2.9297,30.2734,0.5012,54.2498
-0.0625,-0.5938,-0.1094,42.9688,5.8594,32.2266,0.607,54.0296
-0.0938,-0.8906,-0.25,40.0391,-1.9531,36.1328,0.9298,53.9678
-0.3594,-1.1562,0.0,63.4766,-6.8359,28.3203,1.2108,69.843
-0.2969,-1.5469,0.4375,101.5625,-9.7656,21.4844,1.6347,104.2683
-0.625,-1.2344,0.9062,95.7031,-6.8359,23.4375,1.654,98.7681
-0.4375,-1.25,0.6719,45.8984,-2.9297,13.6719,1.485,47.9809
-0.3594,-0.9219,0.0938,41.9922,-0.9766,13.6719,0.9939,44.1726
-0.3281,-0.7656,0.5,55.6641,-9.7656,12.6953,0.9715,57.9226
-0.2656,-0.7031,0.6562,44.9219,-9.7656,11.7188,0.9978,47.4412
-0.2812,-0.6562,0.75,38.0859,-7.8125,9.7656,1.0355,40.0867
-0.2969,-0.7344,0.8438,32.2266,-4.8828,6.8359,1.1573,33.3035
-0.2812,-0.7344,0.9062,25.3906,0.0,6.8359,1.1999,26.2948
-0.2344,-0.6094,0.7656,23.4375,2.9297,6.8359,1.0062,24.5892
-0.1562,-0.5,0.6094,24.4141,3.9062,6.8359,0.8036,25.6522
-0.1094,-0.4375,0.6406,25.3906,2.9297,6.8359,0.7834,26.4575
-0.125,-0.4531,0.7031,25.3906,3.9062,7.8125,0.8458,26.851
-0.2969,-0.4531,0.8281,28.3203,4.8828,9.7656,0.9896,30.3521
-0.3438,-0.4219,0.8594,29.2969,4.8828,10.7422,1.0172,31.5839
-0.4062,-0.3594,0.9062,31.25,4.8828,11.7188,1.0562,33.7303
-0.4062,-0.3281,1.0781,33.2031,5.8594,12.6953,1.1979,36.0271
-0.4062,-0.2812,1.0625,33.2031,7.8125,12.6953,1.1718,36.3958
-0.4375,-0.2812,1.0156,33.2031,8.7891,13.6719,1.1411,36.9678
-0.4531,-0.2188,1.0156,34.1797,8.7891,13.6719,1.1334,37.8473
-0.4688,-0.0469,1.0469,36.1328,8.7891,13.6719,1.148,39.62
-0.4062,0.0781,1.0156,35.1562,8.7891,13.6719,1.0966,38.7315
-0.4062,0.2188,1.1875,34.1797,8.7891,13.6719,1.274,37.8473
-0.5,0.2031,1.0625,32.2266,10.7422,13.6719,1.1917,36.6178
-0.6094,0.0469,0.9688,33.2031,15.625,12.6953,1.1454,38.8299
-0.5938,0.2656,1.0312,25.3906,14.6484,11.7188,1.2193,31.5688
-0.6094,0.2188,0.9844,24.4141,14.6484,10.7422,1.1782,30.4305
-0.7188,0.1875,1.0312,30.2734,8.7891,13.6719,1.2709,34.3606
