ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
-0.9531,-0.0469,0.1562,-2.9297,-9.7656,2.9297,0.967,10.6082
-0.9375,-0.0625,0.1875,-4.8828,-7.8125,2.9297,0.9581,9.6675
-0.9219,-0.0312,0.1875,-0.9766,-2.9297,2.9297,0.9413,4.2567
-0.9062,-0.0469,0.2344,0.0,-0.9766,2.9297,0.9372,3.0882
-0.9062,-0.0625,0.2656,-0.9766,-0.9766,3.9062,0.9464,4.1432
-0.9219,-0.0781,0.2969,-3.9062,-3.9062,3.9062,0.9716,6.7658
-0.9219,-0.0469,0.3125,-8.7891,-6.8359,3.9062,0.9745,11.7998
-0.9375,0.0,0.2812,-10.7422,-7.8125,4.8828,0.9788,14.1517
-0.9531,0.0625,0.25,-8.7891,-7.8125,4.8828,0.9873,12.7328
-0.9531,0.1094,0.25,-7.8125,-5.8594,4.8828,0.9914,10.9183
-0.9375,0.1094,0.2656,-6.8359,-1.9531,4.8828,0.9805,8.6248
-0.8906,0.0781,0.2969,-6.8359,0.9766,3.9062,0.942,7.9336
-0.8594,0.0469,0.3281,-6.8359,0.0,3.9062,0.9211,7.8733
-0.9219,0.0312,0.3125,-4.8828,0.0,3.9062,0.9739,6.2531
-0.9531,0.0469,0.3125,-4.8828,-0.9766,2.9297,1.0041,5.7774
-0.9219,0.0312,0.2969,-3.9062,0.0,1.9531,0.969,4.3673
-0.8438,0.0312,0.2656,-1.9531,0.0,0.9766,0.8851,2.1837
0.2812,0.2031,-0.7188,0.9766,40.0391,28.3203,0.7981,49.0522
0.1875,0.0781,-0.5625,0.0,41.9922,33.2031,0.5981,53.5331
0.25,0.0,-0.5469,-2.9297,47.8516,34.1797,0.6013,58.8779
0.3906,-0.0625,-0.5,-6.8359,60.5469,27.3438,0.6376,66.7857
0.3281,-0.1094,-0.2344,-4.8828,69.3359,16.6016,0.4178,71.4628
0.4062,0.0,-0.0781,-4.8828,85.9375,28.3203,0.4137,90.6153
0.7812,-0.0469,0.125,-9.7656,77.1484,64.4531,0.7926,101.0022
1.9844,-1.4375,1.6562,4.8828,124.0234,58.5938,2.9576,137.2548
1.8438,0.0625,0.875,23.4375,100.5859,2.9297,2.0418,103.322
0.8906,0.1094,-0.2812,-21.4844,-47.8516,31.25,0.9404,61.0566
1.2344,-0.2188,-0.375,3.9062,22.4609,11.7188,1.3085,25.6336
1.4531,0.0,0.7031,10.7422,76.1719,14.6484,1.6143,78.3079
1.3906,-0.1406,0.625,0.9766,41.9922,12.6953,1.5311,43.8802
1.2969,-0.1562,0.4375,-3.9062,30.2734,11.7188,1.3776,32.6966
1.0781,-0.125,0.4219,-6.8359,31.25,10.7422,1.1645,33.7444
0.9062,-0.0469,0.4375,-7.8125,24.4141,10.7422,1.0074,27.7935
0.9375,-0.0469,0.5,-10.7422,21.4844,13.6719,1.0635,27.6386
0.8594,-0.1406,0.5,-11.7188,24.4141,14.6484,1.0041,30.7888
