ax_s,ay_s,az_s,gx_s,gy_s,gz_s
0.125,-1.2812,-0.1875,-18.5547,-1.9531,-0.9766
-0.0625,-1.0938,-0.0156,-50.7812,-4.8828,7.8125
0.0469,-1.0469,0.7031,-41.0156,-13.6719,3.9062
0.1719,-1.1094,0.8281,-27.3438,-2.9297,0
-0.0312,-1.3438,0,-30.2734,28.3203,-2.9297
0.1406,-1.1562,-0.25,-29.2969,45.8984,-8.7891
0.0625,-0.6562,0.2812,-7.8125,-21.4844,-10.7422
-0.1406,-0.6875,0.2031,-7.8125,-9.7656,-6.8359
-0.0469,-0.7031,0.0156,-2.9297,-8.7891,-6.8359
0,-0.625,0.0156,0.9766,-9.7656,-4.8828
0,-0.5469,-0.0156,7.8125,-9.7656,-2.9297
0.0469,-0.7812,-0.1406,14.6484,-4.8828,-0.9766
0.2188,-1.125,-0.4219,13.6719,-3.9062,0
0.6875,-1.4688,-0.8594,-0.9766,-5.8594,-3.9062
0.7031,-1.125,-0.6875,-5.8594,-5.8594,-10.7422
0.2656,-0.8906,-0.5781,0.9766,-1.9531,-5.8594
0.1094,-0.7812,-0.3594,2.9297,1.9531,-4.8828
-0.0625,-0.7969,-0.1875,0,-3.9062,-5.8594
0.4219,-0.8281,0.3438,16.6016,2.9297,12.6953
0.1406,-0.9688,0.0781,10.7422,-7.8125,-1.9531
0.0156,-0.9219,0.0625,9.7656,-5.8594,-1.9531
0.0938,-0.9062,0.0938,8.7891,0,-0.9766
0.125,-0.9219,0.1875,7.8125,0.9766,0
0.2031,-0.8906,0.2656,5.8594,5.8594,0
0.2812,-0.9375,0.2344,5.8594,6.8359,0
0.2812,-0.9688,0.2031,4.8828,7.8125,0
0.2188,-0.9375,0.125,5.8594,11.7188,-0.9766
0.2188,-0.9219,0.1875,7.8125,10.7422,-1.9531
0.2344,-0.9062,0.2656,10.7422,6.8359,-0.9766
0.2031,-0.9375,0.1719,13.6719,4.8828,0
0.2031,-0.9688,0.0938,12.6953,6.8359,0.9766
0.1719,-1,0.1094,9.7656,8.7891,0.9766
0.2188,-1.0312,0.1406,5.8594,8.7891,0.9766
0.3125,-1.0312,0.1719,2.9297,10.7422,1.9531
0.3594,-1,0.1406,1.9531,10.7422,0
0.2812,-0.9844,0.0469,0.9766,8.7891,0
0.25,-1,0.0781,0,9.7656,0
0.2812,-1.0781,0.125,-2.9297,11.7188,0
0.3906,-1.1875,0.1406,-4.8828,10.7422,0
0.3438,-1.0938,0.0312,-5.8594,6.8359,-0.9766
0.1719,-1.1406,0,-8.7891,2.9297,-1.9531
0.0781,-1.1562,0,-17.5781,1.9531,-0.9766
0.0312,-1.0781,0,-27.3438,-0.9766,0.9766
-0.0469,-1.0156,-0.0469,-40.0391,0,2.9297
-0.0781,-1.0469,0.2969,-39.0625,6.8359,0
-0.1719,-1.0938,0.5625,-31.25,19.5312,-1.9531
-0.2188,-1.1094,0.4375,-27.3438,30.2734,-0.9766
0.0312,-1.1094,0.0312,-23.4375,25.3906,-1.9531
0.2969,-0.9375,-0.1562,-25.3906,18.5547,-2.9297
0,-0.75,0.1719,-12.6953,-0.9766,-2.9297
-0.0938,-0.7344,0.1094,-11.7188,3.9062,-1.9531
-0.0312,-0.7656,0,-8.7891,7.8125,-2.9297
-0.0156,-0.6719,0,-0.9766,12.6953,-0.9766
0.3594,-1.0625,-0.2969,0.9766,12.6953,0.9766
0.0625,-0.7188,0.5625,-3.9062,13.6719,5.8594
0.3125,-0.9375,0.5312,-4.8828,6.8359,7.8125
0.4531,-1.0312,0.4219,2.9297,4.8828,7.8125
0.375,-1.0312,0.1094,9.7656,12.6953,2.9297
0.3281,-0.875,0.1719,1.9531,11.7188,0
0.2344,-0.9531,0.1094,2.9297,9.7656,0
0.25,-1,0.2188,1.9531,11.7188,0.9766
0.2344,-1.0312,0.2344,1.9531,14.6484,0
0.2188,-1.0625,0.1094,1.9531,18.5547,0
0.25,-1.0469,0,0,19.5312,0
0.3125,-1.0156,0.0156,-1.9531,18.5547,0
0.2969,-1,-0.0312,-2.9297,18.5547,0
0.3438,-1.0469,-0.0938,-6.8359,20.5078,0
0.4531,-1.1406,-0.0781,-13.6719,18.5547,-0.9766
0.3594,-1.1875,-0.0156,-19.5312,13.6719,-4.8828
0.1094,-1.25,-0.0156,-23.4375,6.8359,-5.8594
-0.2031,-1.2344,-0.1094,-35.1562,2.9297,-1.9531
-0.375,-1.1406,0.0938,-42.9688,4.8828,2.9297
