ax_s,ay_s,az_s,gx_s,gy_s,gz_s
-0.8906,0.375,0.1875,1.9531,0,0
-0.8906,0.375,0.1562,0.9766,0,0
-0.8906,0.3594,0.1719,1.9531,0,0
-0.9062,0.375,0.1875,1.9531,0,0
-0.9062,0.3594,0.1562,1.9531,0,0
-0.9062,0.3594,0.1406,1.9531,0,0
-0.9062,0.3594,0.1094,0.9766,0,0
-0.9062,0.3281,0.1094,0,0,0
-0.9062,0.3125,0.125,0,0,0
-0.9219,0.3281,0.125,-0.9766,0,0
-0.9062,0.3594,0.1094,-0.9766,0.9766,0
-0.9062,0.375,0.1406,-1.9531,0.9766,0
-0.8906,0.3906,0.125,-2.9297,0.9766,0.9766
-0.8906,0.3906,0.125,-2.9297,0.9766,0.9766
-0.9062,0.4219,0.1406,-1.9531,0.9766,0.9766
-0.8906,0.4219,0.1562,-1.9531,0.9766,0.9766
-0.8906,0.4375,0.1406,-1.9531,0.9766,0.9766
-0.8906,0.4062,0.125,0,0.9766,0.9766
-0.9219,0.3594,0.125,0,0,0.9766
-0.9219,0.3906,0.0938,0,0.9766,0.9766
-0.9219,0.4062,0.1094,0,0.9766,0.9766
-0.9062,0.4219,0.1406,0,0.9766,0.9766
-0.9219,0.4531,0.125,0.9766,1.9531,0.9766
-0.8906,0.4688,0.1562,1.9531,1.9531,0.9766
-0.8594,0.4688,0.125,2.9297,2.9297,0.9766
-0.875,0.4688,0.0781,3.9062,2.9297,0
-0.875,0.4688,0.0625,6.8359,2.9297,0
-0.875,0.4375,0.0781,7.8125,1.9531,0
-0.8906,0.4062,0.0781,7.8125,1.9531,0
-0.875,0.375,0.0469,5.8594,1.9531,0
-0.8906,0.2969,0.0469,3.9062,0.9766,0
-0.9219,0.2969,0,0,0.9766,0
-0.875,0.3125,0.0312,-0.9766,0,0
-0.8125,0.3594,0.1406,0,-1.9531,0
-0.75,0.4219,0.1719,0,-3.9062,-0.9766
-0.7812,0.5781,0.0469,-1.9531,-2.9297,0
-0.8594,0.4844,0.0469,-2.9297,-1.9531,0.9766
-0.8906,0.4062,0.1094,-0.9766,-4.8828,0
-0.8906,0.4062,0.1406,-0.9766,-5.8594,0
-0.8906,0.375,0.125,-0.9766,-5.8594,0
-0.9531,0.4219,0.0625,0,-5.8594,0
-0.9531,0.4375,0,0.9766,-3.9062,0
-0.9219,0.4219,0.0625,0.9766,-3.9062,0
