ax_s,ay_s,az_s,gx_s,gy_s,gz_s
-1.3125,0.1875,0.0156,-11.7188,8.7891,6.8359
-1.25,0.2188,-0.0469,-7.8125,14.6484,5.8594
-1.125,0.1875,-0.0469,-7.8125,23.4375,5.8594
-0.875,0.2344,0.0625,-7.8125,31.25,7.8125
-0.7344,0.3281,0.1562,-11.7188,41.0156,7.8125
-0.8125,0.4062,0.1719,-18.5547,43.9453,5.8594
-0.9688,0.3594,0.25,-6.8359,39.0625,0.9766
-1.0469,0.3438,0.3594,2.9297,30.2734,-3.9062
-1.1094,0.2969,0.3594,9.7656,18.5547,-9.7656
-1.1094,0.2188,0.1562,8.7891,12.6953,-14.6484
-1,0.2344,-0.0625,5.8594,9.7656,-17.5781
-0.8594,0.3281,-0.0156,-2.9297,10.7422,-15.625
-0.8438,0.5312,0.1094,-3.9062,9.7656,-15.625
-0.8594,0.4219,0.1719,-7.8125,9.7656,-16.6016
-0.9844,0.2031,0.1719,-19.5312,8.7891,-18.5547
-1,0.2969,0.0469,-19.5312,11.7188,-17.5781
-0.9375,0.3125,0,-21.4844,9.7656,-17.5781
-0.8281,0.3281,-0.0156,-27.3438,11.7188,-15.625
-0.75,0.3594,-0.0781,-25.3906,13.6719,-11.7188
-0.6719,0.4844,-0.1406,-16.6016,6.8359,-7.8125
-0.6875,0.5156,-0.1406,-8.7891,1.9531,-5.8594
-0.7656,0.3594,-0.1875,-4.8828,0.9766,-2.9297
-0.8125,0.2656,-0.1406,-5.8594,0.9766,-0.9766
-0.8906,0.1719,-0.1562,-7.8125,0,0
-0.9531,0.0938,-0.2344,-10.7422,0,0
-0.9844,0.0625,-0.3438,-10.7422,-0.9766,0
-1.0938,0.0312,-0.3125,-9.7656,-4.8828,-1.9531
-1,0.0781,-0.25,-4.8828,-8.7891,-3.9062
-0.8906,0.1719,-0.2656,0,-6.8359,-3.9062
-1.0781,0.375,-0.1719,-1.9531,-7.8125,-0.9766
-1.3594,0.5625,-0.0781,-0.9766,-10.7422,0.9766
-1.125,0.3906,-0.1562,-3.9062,0,0.9766
-0.7344,0.4375,0,-2.9297,-1.9531,-0.9766
-0.5938,0.5781,0,-2.9297,-9.7656,3.9062
-0.5938,0.625,0.2031,2.9297,-13.6719,10.7422
-0.7969,0.4844,0.3906,9.7656,-20.5078,9.7656
-1.0469,0.1719,0.4219,12.6953,-14.6484,7.8125
-1.2031,-0.1719,0.0156,7.8125,-12.6953,4.8828
-1.1406,-0.2031,0.0781,-4.8828,-12.6953,0.9766
-0.9375,0.1719,0.125,-14.6484,-9.7656,0
-0.8438,0.4531,0.125,-15.625,-7.8125,0
-0.7969,0.5312,0.0625,-8.7891,-8.7891,-0.9766
-0.8594,0.3906,0.125,-1.9531,-10.7422,0
-0.8906,0.3281,0.1406,0,-11.7188,0
-0.9062,0.3281,0.1406,0.9766,-10.7422,0.9766
-0.9062,0.2344,0.1719,2.9297,-9.7656,0.9766
-0.9688,0.2188,0.2031,3.9062,-9.7656,0
-0.9688,0.2656,0.0938,4.8828,-9.7656,0
-0.9219,0.2812,0.1406,5.8594,-8.7891,-0.9766
-0.875,0.2812,0.2344,8.7891,-7.8125,-0.9766
-0.8438,0.3125,0.2656,10.7422,-9.7656,-0.9766
-0.9062,0.3281,0.2188,7.8125,-11.7188,0
-0.9219,0.2969,0.2188,5.8594,-11.7188,0.9766
-0.9844,0.3125,0.2188,6.8359,-11.7188,0.9766
-1,0.2969,0.2031,11.7188,-11.7188,0
-1.0156,0.3125,0.25,11.7188,-10.7422,0
-1.0625,0.3125,0.2031,11.7188,-9.7656,0
-1.0469,0.2812,0.1406,12.6953,-7.8125,0
-1.0312,0.25,0.0781,13.6719,-7.8125,0.9766
-1.0469,0.2656,0.0625,13.6719,-6.8359,0
-1.2031,0.2656,0.125,13.6719,-2.9297,0
-1.2031,0.3125,0.0625,13.6719,0.9766,-1.9531
-1.1562,0.4062,-0.0156,13.6719,6.8359,-2.9297
-1.0469,0.4375,-0.0156,17.5781,18.5547,-1.9531
-0.8594,0.5156,-0.0625,19.5312,29.2969,0
-0.7031,0.5781,0,28.3203,37.1094,1.9531
-0.7812,0.6406,0.3281,25.3906,29.2969,0.9766
-0.875,0.75,0.5469,41.0156,12.6953,-2.9297
-0.9375,0.5625,0.4219,39.0625,5.8594,-4.8828
-1.0312,0.3906,-0.0156,31.25,6.8359,-5.8594
-1,0.375,-0.2812,32.2266,3.9062,-7.8125
-0.8906,0.2812,-0.0938,20.5078,5.8594,-6.8359
-0.8125,0.3906,0.1094,10.7422,10.7422,-3.9062
-0.6562,0.5312,0.0938,10.7422,13.6719,0
-0.6719,0.4531,0.0469,13.6719,8.7891,0
-0.75,0.3594,0,10.7422,5.8594,0
-0.75,0.2969,-0.0156,5.8594,2.9297,0.9766
-0.6875,0.2969,-0.0156,2.9297,0,0.9766
-0.6094,0.3125,-0.0156,1.9531,-3.9062,2.9297
-0.6719,0.3125,-0.0312,2.9297,-8.7891,4.8828
-0.7344,0.2656,-0.0625,4.8828,-10.7422,2.9297
-0.9375,0.25,-0.2031,7.8125,-12.6953,1.9531
-1.0938,0.2812,-0.4844,3.9062,-4.8828,0
-1.25,0.2969,-0.7812,4.8828,-5.8594,-2.9297
-1.0781,0.2031,-0.6875,5.8594,-5.8594,-6.8359
-0.8906,0.2188,-0.3438,6.8359,-8.7891,-4.8828
-0.8125,0.3281,-0.1406,8.7891,-5.8594,-3.9062
-0.8594,0.5156,-0.125,14.6484,-1.9531,-2.9297
-1.2969,0.7031,-0.4062,10.7422,-3.9062,1.9531
-1.2031,0.5312,-0.2188,3.9062,-3.9062,3.9062
-0.8125,0.2812,0.3125,6.8359,-9.7656,-0.9766
-0.625,0.4219,0.2656,5.8594,-18.5547,-1.9531
-0.75,0.4844,0.1719,1.9531,-19.5312,3.9062
-0.8438,0.4531,0.25,5.8594,-13.6719,8.7891
-0.8594,0.3281,0.3438,9.7656,-17.5781,4.8828
-0.9688,0.1406,0.2031,2.9297,-17.5781,2.9297
